meta:config.TRAIN_DIR='data/train_test_10',config.BATCH_SIZE=2,config.GAN_NUM_EPOCHS=2,config.LEARNING_RATE=0.0001,10,2,config.LOAD_MODEL=False,config.N_POINTS=2048
idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
0,0.5393789410591125,0.24382004141807556,0.20943176746368408,0.1954009085893631,0.6486527323722839,0
1,0.49242523312568665,0.24771425127983093,0.20151132345199585,0.1954144686460495,0.6446400284767151,0
2,0.49962061643600464,0.26805251836776733,0.22423996031284332,0.19540679454803467,0.6876992583274841,0
3,0.4923633933067322,0.2428922802209854,0.2341974973678589,0.1954115927219391,0.6725013256072998,0
4,0.5033395290374756,0.2180488109588623,0.24125464260578156,0.19541509449481964,0.6547185182571411,0
5,0.5025514364242554,0.1975872665643692,0.19826753437519073,0.19538791477680206,0.5912427306175232,0
6,0.511998176574707,0.23713627457618713,0.24567601084709167,0.1954025775194168,0.6782148480415344,0
7,0.4894036054611206,0.26331791281700134,0.2102838158607483,0.19537994265556335,0.668981671333313,0
8,0.5233480334281921,0.2349899411201477,0.2314961701631546,0.19541406631469727,0.6619001626968384,0
9,0.5019693374633789,0.21607042849063873,0.24189156293869019,0.19541022181510925,0.6533721685409546,0
0,0.5495162010192871,0.22477199137210846,0.20540004968643188,0.19538630545139313,0.6255583167076111,1
1,0.5008900165557861,0.2129022777080536,0.22058174014091492,0.1954098641872406,0.6288938522338867,1
2,0.459602415561676,0.2531663775444031,0.22763122618198395,0.19538713991641998,0.6761847138404846,1
3,0.5474638938903809,0.2203930765390396,0.2258974313735962,0.19538602232933044,0.6416765451431274,1
4,0.5132336020469666,0.23919208347797394,0.24094904959201813,0.1953946053981781,0.6755357384681702,1
5,0.5132653117179871,0.2516796886920929,0.2379206418991089,0.19541814923286438,0.6850184798240662,1
6,0.5183160305023193,0.23223724961280823,0.24212533235549927,0.19541504979133606,0.6697776317596436,1
7,0.5401866436004639,0.23211950063705444,0.23321957886219025,0.19540292024612427,0.6607419848442078,1
8,0.5161759853363037,0.22201555967330933,0.1924344301223755,0.19539055228233337,0.6098405122756958,1
9,0.528589129447937,0.2326955944299698,0.22294485569000244,0.19541123509407043,0.6510516405105591,1
