meta:config.TRAIN_DIR='data/train',config.BATCH_SIZE=32,config.NUM_EPOCHS=600,config.LEARNING_RATE=1e-05,config.LAMBDA_IDENTITY=0.0,1,600,config.LOAD_MODEL=False,config.N_POINTS=2048
idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
0,0.5172499418258667,0.31094229221343994,0.2660799026489258,0.027136070653796196,0.6041582822799683,0
1,0.517372727394104,0.32082799077033997,0.26778897643089294,0.02713608741760254,0.6157530546188354,0
2,0.5162397623062134,0.31054383516311646,0.26886096596717834,0.027135848999023438,0.6065406799316406,0
3,0.5183184146881104,0.3155529499053955,0.2620474100112915,0.027135727927088737,0.6047360897064209,0
4,0.5137807130813599,0.3174190819263458,0.2687927484512329,0.027135901153087616,0.6133477091789246,0
5,0.5177352428436279,0.31460046768188477,0.2604919970035553,0.027136635035276413,0.6022290587425232,0
6,0.5204510688781738,0.32189828157424927,0.2670372426509857,0.027136223390698433,0.6160717010498047,0
7,0.5181048512458801,0.31697696447372437,0.2762700617313385,0.027136072516441345,0.6203831434249878,0
8,0.5131525993347168,0.31249353289604187,0.2702285647392273,0.027135826647281647,0.6098579168319702,0
9,0.509438157081604,0.3168613314628601,0.2661920189857483,0.026896605268120766,0.6099499464035034,0
10,0.5185130834579468,0.31263458728790283,0.26786744594573975,0.02583710104227066,0.606339156627655,0
11,0.5083514451980591,0.3180769681930542,0.27118992805480957,0.02477916330099106,0.614046037197113,0
12,0.5152192115783691,0.3210585415363312,0.27381932735443115,0.02383335493505001,0.6187111735343933,0
13,0.5093369483947754,0.318873792886734,0.2654014229774475,0.022924035787582397,0.6071993112564087,0
14,0.5088678598403931,0.30762621760368347,0.26811516284942627,0.022284090518951416,0.5980255007743835,0
15,0.5158217549324036,0.31586670875549316,0.26943767070770264,0.02166207879781723,0.6069664359092712,0
16,0.5138015747070312,0.3096478581428528,0.2684518098831177,0.021626289933919907,0.5997259616851807,0
17,0.5144439935684204,0.3159283995628357,0.2708313465118408,0.022276699542999268,0.6090364456176758,0
18,0.5135196447372437,0.30742353200912476,0.27303725481033325,0.02231461927294731,0.6027753949165344,0
19,0.5165090560913086,0.31097784638404846,0.2627072334289551,0.02102062664926052,0.5947057008743286,0
20,0.5080320239067078,0.30802690982818604,0.27283966541290283,0.02017456293106079,0.6010411381721497,0
21,0.5111964344978333,0.30367201566696167,0.2663014531135559,0.01963328942656517,0.589606761932373,0
22,0.5112163424491882,0.3104761838912964,0.2729666233062744,0.020047515630722046,0.6034903526306152,0
23,0.5106195211410522,0.3113768696784973,0.2617260813713074,0.02062845043838024,0.5937314033508301,0
24,0.5077803134918213,0.30579763650894165,0.27523481845855713,0.021005704998970032,0.6020381450653076,0
25,0.5164862871170044,0.31075096130371094,0.26775747537612915,0.021077100187540054,0.5995855331420898,0
26,0.5078440308570862,0.30918002128601074,0.26955315470695496,0.021336939185857773,0.6000701189041138,0
27,0.5155139565467834,0.31340572237968445,0.27052462100982666,0.020351624116301537,0.604282021522522,0
28,0.5072103142738342,0.30306336283683777,0.2675098776817322,0.02000930905342102,0.5905824899673462,0
29,0.5051901936531067,0.3072882890701294,0.26558917760849,0.02064470201730728,0.5935221910476685,0
30,0.5088852643966675,0.31189972162246704,0.2632908225059509,0.021000919863581657,0.5961914658546448,0
31,0.507652759552002,0.2990139424800873,0.26711347699165344,0.020954040810465813,0.5870814323425293,0
32,0.5049319267272949,0.3087253272533417,0.2663657069206238,0.021694105118513107,0.5967851281166077,0
33,0.5113657712936401,0.3013406991958618,0.27047842741012573,0.021936319768428802,0.5937554240226746,0
34,0.5122971534729004,0.3074840009212494,0.27312254905700684,0.021551454439759254,0.6021580100059509,0
35,0.5125671625137329,0.30474528670310974,0.265719473361969,0.021144364029169083,0.5916091203689575,0
36,0.5080915689468384,0.3114285171031952,0.2730192542076111,0.02063613384962082,0.6050838828086853,0
37,0.49957334995269775,0.3126424252986908,0.26770684123039246,0.020383331924676895,0.6007326245307922,0
38,0.5162842869758606,0.3166082799434662,0.25950002670288086,0.02027314156293869,0.5963814854621887,0
0,0.5130569934844971,0.3084392547607422,0.26742544770240784,0.020273400470614433,0.596138060092926,1
1,0.4988643527030945,0.31061768531799316,0.27061259746551514,0.020166270434856415,0.6013965606689453,1
2,0.5038201808929443,0.3005867004394531,0.2638278603553772,0.020248422399163246,0.5846629738807678,1
3,0.4975648522377014,0.30063581466674805,0.27038300037384033,0.020584549754858017,0.5916033387184143,1
4,0.5063965320587158,0.3057248294353485,0.26956021785736084,0.02110186219215393,0.5963869094848633,1
5,0.5042847990989685,0.30747631192207336,0.26792529225349426,0.021424971520900726,0.5968265533447266,1
6,0.498052179813385,0.30224233865737915,0.2660714089870453,0.02113303728401661,0.5894467830657959,1
7,0.5059579014778137,0.3052178621292114,0.26728659868240356,0.020543988794088364,0.5930484533309937,1
8,0.4987577199935913,0.3056516647338867,0.26989465951919556,0.019404027611017227,0.5949503779411316,1
9,0.5059168934822083,0.298624724149704,0.27392640709877014,0.01885203644633293,0.5914031863212585,1
10,0.49951714277267456,0.31018736958503723,0.2707286477088928,0.018383022397756577,0.5992990732192993,1
11,0.5020302534103394,0.30887049436569214,0.2752954661846161,0.017080605030059814,0.6012465357780457,1
12,0.5004905462265015,0.3055630326271057,0.2653452754020691,0.016410060226917267,0.5873183608055115,1
13,0.4950709342956543,0.3151901364326477,0.2727683186531067,0.015578491613268852,0.6035369634628296,1
14,0.4980512261390686,0.31319743394851685,0.2683759927749634,0.014468235895037651,0.5960416793823242,1
15,0.5008502006530762,0.3014790415763855,0.2719767689704895,0.013933870941400528,0.5873897075653076,1
16,0.502734899520874,0.3075515627861023,0.26907727122306824,0.0139300636947155,0.5905588865280151,1
