meta:config.TRAIN_DIR='data/train',config.BATCH_SIZE=128,config.GAN_NUM_EPOCHS=600,config.LEARNING_RATE=0.0001,10,600,config.LOAD_MODEL=False,config.N_POINTS=2048
idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
0,0.5222612619400024,0.28042200207710266,0.2010829746723175,0.016932813450694084,0.4984377920627594,0
1,0.5263604521751404,0.29334571957588196,0.19981558620929718,0.01674029417335987,0.5099016427993774,0
2,0.5295539498329163,0.2826005816459656,0.20476877689361572,0.016480902209877968,0.5038502812385559,0
3,0.5253438353538513,0.28375542163848877,0.2043159008026123,0.016862619668245316,0.5049339532852173,0
4,0.5276368856430054,0.28262749314308167,0.20817705988883972,11.634153366088867,12.124958038330078,0
5,0.5102921724319458,0.2807253301143646,0.21459564566612244,27.80362319946289,28.2989444732666,0
6,0.5072300434112549,0.2871377468109131,0.2142840027809143,52.649658203125,53.15108108520508,0
7,0.4951038956642151,0.29668864607810974,0.2158116102218628,52.64971923828125,53.1622200012207,0
8,0.5017173290252686,0.2742503583431244,0.2157183736562729,4.37978458404541,4.869753360748291,0
9,0.49993669986724854,0.27220603823661804,0.22191086411476135,10.558024406433105,11.052141189575195,0
0,0.5005788207054138,0.28100794553756714,0.2196648120880127,2.157188892364502,2.6578617095947266,1
1,0.4998301863670349,0.27910369634628296,0.22384396195411682,2.935296058654785,3.438243865966797,1
2,0.4818984270095825,0.28800666332244873,0.22692973911762238,0.4892330765724182,1.0041694641113281,1
3,0.49030375480651855,0.27390873432159424,0.2334839552640915,0.9095276594161987,1.4169204235076904,1
4,0.4726763963699341,0.2759132385253906,0.2409185767173767,0.9203376770019531,1.4371695518493652,1
5,0.471161812543869,0.28215694427490234,0.24259719252586365,0.7903432846069336,1.315097451210022,1
6,0.4754694104194641,0.28800103068351746,0.2419402152299881,0.4908885955810547,1.0208299160003662,1
7,0.4734383225440979,0.2833189368247986,0.24374733865261078,0.4908861517906189,1.0179524421691895,1
8,0.4629233777523041,0.29227113723754883,0.23679488897323608,0.9135522842407227,1.4426183700561523,1
9,0.467571884393692,0.29407060146331787,0.2470911592245102,1.2143197059631348,1.755481481552124,1
0,0.4613344669342041,0.28460752964019775,0.25472092628479004,0.7432616353034973,1.2825901508331299,2
1,0.4571317434310913,0.2685295045375824,0.25584548711776733,0.6051530241966248,1.1295280456542969,2
2,0.45649081468582153,0.2874208688735962,0.2577851414680481,0.5287007093429565,1.073906660079956,2
3,0.44741594791412354,0.2872486412525177,0.2658226490020752,0.6503808498382568,1.2034521102905273,2
4,0.43419134616851807,0.2785632610321045,0.271928071975708,0.9616711139678955,1.512162446975708,2
5,0.4313938021659851,0.2855985164642334,0.2681019902229309,0.6035701036453247,1.1572706699371338,2
6,0.43290090560913086,0.29839181900024414,0.2738102376461029,0.4717869758605957,1.0439890623092651,2
7,0.4301016330718994,0.31166574358940125,0.26741674542427063,0.5050238966941833,1.0841064453125,2
8,0.4318518042564392,0.30105146765708923,0.288533091545105,0.6366421580314636,1.226226806640625,2
9,0.4318801760673523,0.29906365275382996,0.289477676153183,0.6297823190689087,1.2183237075805664,2
0,0.4247894585132599,0.2737545669078827,0.2760807275772095,0.354470431804657,0.9043057560920715,3
1,0.4134806990623474,0.3404330611228943,0.291803777217865,0.3544609844684601,0.986697793006897,3
2,0.4066953957080841,0.3253507614135742,0.29024916887283325,0.3699372410774231,0.9855371713638306,3
3,0.3899878263473511,0.3493979573249817,0.2783811092376709,0.3468847870826721,0.9746638536453247,3
4,0.3840031623840332,0.360586941242218,0.3057229518890381,0.41447222232818604,1.080782175064087,3
5,0.3934567868709564,0.3257141709327698,0.30301493406295776,1.3416192531585693,1.9703483581542969,3
6,0.38962310552597046,0.35354211926460266,0.31446129083633423,0.5598742365837097,1.2278776168823242,3
7,0.3624088764190674,0.35662558674812317,0.3144039511680603,0.7701177597045898,1.4411473274230957,3
8,0.36366522312164307,0.3782234787940979,0.32740622758865356,0.35283568501472473,1.0584653615951538,3
9,0.3667280673980713,0.3779436945915222,0.32840603590011597,0.2804509401321411,0.9868006706237793,3
