idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
27,nan,nan,nan,nan,nan,2
28,nan,nan,nan,nan,nan,2
29,nan,nan,nan,nan,nan,2
30,nan,nan,nan,nan,nan,2
31,nan,nan,nan,nan,nan,2
28,0.5158683061599731,0.2594355344772339,0.24975857138633728,17.565622329711914,18.07481575012207,0
32,nan,nan,nan,nan,nan,2
33,nan,nan,nan,nan,nan,2
34,nan,nan,nan,nan,nan,2
35,nan,nan,nan,nan,nan,2
36,nan,nan,nan,nan,nan,2
37,nan,nan,nan,nan,nan,2
38,nan,nan,nan,nan,nan,2
39,nan,nan,nan,nan,nan,2
40,nan,nan,nan,nan,nan,2
41,nan,nan,nan,nan,nan,2
42,nan,nan,nan,nan,nan,2
43,nan,nan,nan,nan,nan,2
29,0.518311619758606,0.2656184136867523,0.2539946734905243,17.306602478027344,17.826215744018555,0
44,nan,nan,nan,nan,nan,2
45,nan,nan,nan,nan,nan,2
46,nan,nan,nan,nan,nan,2
47,nan,nan,nan,nan,nan,2
48,nan,nan,nan,nan,nan,2
49,nan,nan,nan,nan,nan,2
30,0.5204622149467468,0.25561773777008057,0.25384321808815,17.166500091552734,17.675960540771484,0
31,0.5215548872947693,0.26547175645828247,0.2611938416957855,17.096481323242188,17.623146057128906,0
32,0.5249059200286865,0.2602942883968353,0.2568512558937073,17.04623794555664,17.563383102416992,0
33,0.514212965965271,0.24981221556663513,0.2525966763496399,17.061864852905273,17.564273834228516,0
34,0.5113900899887085,0.26121267676353455,0.2505790889263153,17.059295654296875,17.571086883544922,0
35,0.5161898732185364,0.25993436574935913,0.25825226306915283,16.983495712280273,17.50168228149414,0
36,0.5170661211013794,0.25836265087127686,0.25371021032333374,16.935943603515625,17.448017120361328,0
37,0.5189971327781677,0.25729984045028687,0.2570260167121887,16.897327423095703,17.411653518676758,0
38,0.5170295238494873,0.26248395442962646,0.2502802610397339,16.864089965820312,17.376853942871094,0
39,0.5225355625152588,0.2567153871059418,0.24795381724834442,16.836009979248047,17.340679168701172,0
40,0.5186587572097778,0.25779667496681213,0.2520671486854553,16.788692474365234,17.29855728149414,0
41,0.5160258412361145,0.26472294330596924,0.2479066550731659,16.89093780517578,17.403568267822266,0
42,0.516532301902771,0.256594717502594,0.25250205397605896,17.278879165649414,17.787975311279297,0
43,0.5187763571739197,0.269023060798645,0.2538089454174042,17.666963577270508,18.189796447753906,0
44,0.5139987468719482,0.2615724205970764,0.26494061946868896,17.90719985961914,18.433712005615234,0
45,0.5263481140136719,0.25886815786361694,0.2461320459842682,20.738201141357422,21.243202209472656,0
